0.94513274,0.95929204,0.96017699,0.96017699,0.96814159,0.90265487,0.92566372,0.96460177,
0.97064057,0.98398577,0.97508897,0.97686833,0.97686833,0.97597865,0.96263345,0.98220641,
0.91862568,0.94303797,0.95207957,0.93851718,0.94394213,0.88065099,0.91591320,0.93490054,
0.90600000,0.94200000,0.94000000,0.93300000,0.94600000,0.87500000,0.87800000,0.92300000,
0.95062762,0.96820084,0.96485356,0.96903766,0.96987448,0.91297071,0.93723849,0.96569038,
0.89813995,0.91674048,0.92294066,0.92382640,0.92116918,0.88573959,0.85385297,0.92825509,
0.96697248,0.97522936,0.96605505,0.97522936,0.97798165,0.94678899,0.94862385,0.97798165,
0.95700000,0.96500000,0.95900000,0.97200000,0.96900000,0.87400000,0.93400000,0.96000000,
0.96707819,0.96296296,0.97530864,0.97530864,0.97037037,0.94567901,0.95473251,0.96296296,
0.96000000,0.96100000,0.96200000,0.95800000,0.97400000,0.88700000,0.94700000,0.95900000,
